Avila_Adobe,Firehouse_Museum,Chinese_American_Museum,America_Tropical_Interpretive_Center
24778,4486,1581,6602
18976,4172,1785,5029
25231,7082,3229,8129
26989,6756,2129,2824
36883,10858,3676,10694
29487,5751,2121,11036
32378,5406,2239,13490
37680,8619,1769,9139
28473,61192,1073,5661
27995,6488,1979,7356
25691,4189,2404,9773
18754,4339,1319,7184
20438,3858,1823,6250
15578,3742,1558,5907
21297,5390,2336,9884
26670,7000,3057,7254
34383,12528,4009,13207
30569,5377,2544,11102
41242,6111,3057,11072
30700,5383,2415,12096
20967,5746,1398,6608
29764,8882,2237,12524
24483,6848,2850,6677
21426,4502,2075,5967
19659,4377,2150,6587
17378,3675,2547,6955
20322,6334,7702,9979
24521,6509,3485,5113
31728,9315,4565,7757
23696,4918,3034,6751
31689,5602,2776,12188
25987,5181,2153,6245
22897,4736,1754,6977
25040,6145,2607,6282
17760,3930,2248,6365
20107,3911,2263,5223
18792,3551,2531,4929
14035,3491,2139,4493
20680,5273,5966,6271
25234,5320,3273,6685
30029,8733,5585,7556
22169,4862,2946,6818
30831,5242,2939,8675
27009,5379,1784,6212
23403,4484,1704,4607
22164,4822,2419,6097
17629,4613,2685,6757
18339,4448,2768,6780
16265,3910,2477,5837
14718,3306,2710,5705
19001,5225,4529,4909
18966,4535,2750,4650
25173,8013,4960,5626
22171,4635,2518,4694
23136,4191,2620,4718
20815,4866,2409,3891
21020,4956,2146,3180
19280,4622,2364,3775
17163,4082,2385,4562
